participant.code,subsession.round_number,cash_before_work,cash_before_work_type,work_type,work_profit,work_profit_type,cash_before_health_invest,cash_before_health_invest_type,health_invest_type,health_invest_profit,health_invest_profit_type,cash_before_repay,cash_before_repay_type,repay_type,repay_profit,repay_profit_x,repay_profit_type,cash_before_loan,cash_before_loan_type,loan_type,loan_profit,loan_profit_type,cash_before_invest,cash_before_invest_type,invest_type,invest_profit,invest_profit_type,cash_before_venture,cash_before_venture_type,venture_type,venture_profit,venture_profit_type,cash_before_insurance,cash_before_insurance_type,insurance_type,insurance_profit,insurance_profit_type,cash_before_lottery,cash_before_lottery_type,player.lucky_invest,lottery_type,player.lucky,lottery_profit,lottery_profit_type,cash_before_impact,cash_before_impact_type,impact_type,player.crash_type,impact_profit,impact_profit_type,cash_before_health_impact,cash_before_health_impact_type,health_impact_type,player.health_type,health_impact_profit,health_impact_profit_type,cash_before_preference,cash_before_preference_type,preference_type,preference_profit,preference_profit_type,cash_before_patience,cash_before_patience_type,patience_type,patience_profit,patience_profit_type,player.loss,player.cash,player.total_loans,total,player.treatments,treat5
6l4hmpzv,19,263.97,1,0,21,2,284.97,1,2,-10,0,274.97,1,1,-140,-140,0,134.97,1,1,79.51,2,214.48,1,1,20,2,234.48,1,1,-100,0,134.48,1,1,-13.448,0,121.032,1,1,1,0,-1,0,120.03,1,0,无,0,1,120.03,1,0,无,0,1,120.03,1,6,16,2,136.03,1,1,5.4,2,0,141.43,80.43,128.11,2,0
4c16txm9,19,94.94,1,0,-30,0,64.94,1,2,-10,0,54.94,1,1,-34.57,-34.57,0,20.37,1,1,2.44,2,22.81,1,1,1.2,2,24.01,1,0,0,1,24.01,1,1,-2.401,0,21.609,1,1,1,0,-1,0,20.61,1,0,无,0,1,20.61,1,1,小,-5,0,15.61,1,5,1.2,2,16.81,1,0,5,2,1,21.81,2.44,31.43,2,0
4de7ayta,19,112,1,0,12,2,124,1,1,-5,0,119,1,1,-20.06,-20.06,0,98.94,1,1,9.89,2,108.83,1,1,4.5,2,113.33,1,1,0,1,113.33,1,1,-11.333,0,101.997,1,1,1,0,-1,0,101,1,0,无,0,1,101,1,3,大,-35,0,66,1,6,0,1,66,1,1,6.8,2,0,72.8,9.89,18.24,2,0
o7pqerl1,19,204.4,1,0,24,2,228.4,1,2,-10,0,218.4,1,0,0,0,1,218.4,1,0,0,1,218.4,1,1,32.76,2,251.16,1,1,-20,0,231.16,1,1,-23.116,0,208.044,1,1,1,0,-1,0,207.04,1,0,无,0,1,207.04,1,3,大,-25,0,182.04,1,6,0,1,182.04,1,1,6.8,2,0,188.84,91.96,83.6,2,0
7voc4ywi,19,72.2,1,0,-30,0,42.2,1,1,-5,0,37.2,1,0,0,0,1,37.2,1,0,0,1,37.2,1,1,-0.86,0,36.34,1,1,-6.34,0,30,1,1,-3,0,27,1,1,1,0,-1,0,26,1,0,无,0,1,26,1,2,中,-21,0,5,1,2,2.4,2,7.4,1,1,6.4,2,1,13.8,0,0,2,0
4qo41x6y,19,28.25,1,0,6,2,34.25,1,0,0,1,34.25,1,1,-30.36,-30.36,0,3.89,1,0,0,1,3.89,1,1,0.3,2,4.19,1,1,0.15,2,4.34,1,1,-0.434,0,3.906,1,1,1,0,-1,0,2.91,1,0,无,0,1,2.91,1,0,无,0,1,2.91,1,6,16,2,18.91,1,1,5.2,2,0,24.11,0,27.6,2,0
g004gng8,19,116.28,1,0,21,2,137.28,1,1,-5,0,132.28,1,0,0,0,1,132.28,1,1,13.23,2,145.51,1,1,-1,0,144.51,1,1,15,2,159.51,1,1,-15.951,0,143.559,1,1,1,0,-1,0,142.56,1,0,无,0,1,142.56,1,0,无,0,1,142.56,1,4,1.8,2,144.36,1,1,5.2,2,0,149.56,13.23,0,2,0
ttjy4cwz,20,-10.2,0,0,18,2,7.8,1,1,-5,0,2.8,1,0,0,0,1,2.8,1,0,0,1,2.8,1,1,0.28,2,3.08,1,1,3.08,2,6.16,1,1,-0.616,0,5.544,1,0,0,0,0,1,5.54,1,0,无,0,1,5.54,1,1,小,-7,0,-1.46,0,2,1.6,2,0.14,1,1,0,1,0,0.14,0,0,2,0
idr031u6,20,169.22,1,0,27,2,196.22,1,2,-10,0,186.22,1,0,0,0,1,186.22,1,0,0,1,186.22,1,1,4.5,2,190.72,1,1,0,1,190.72,1,1,-19.072,0,171.648,1,1,1,0,-1,0,170.65,1,0,无,0,1,170.65,1,1,小,-5,0,165.65,1,3,5,2,170.65,1,1,6.4,2,0,177.05,0,0,2,0
s1ftoyto,20,14.9,1,1,-3,0,11.9,1,0,0,1,11.9,1,0,0,0,1,11.9,1,1,0.71,2,12.61,1,1,0.13,2,12.74,1,1,0,1,12.74,1,1,-1.274,0,11.466,1,1,1,0,-1,0,10.47,1,0,无,0,1,10.47,1,1,小,-15,0,-4.53,0,6,8,2,3.47,1,1,5.8,2,0,9.27,0.71,0,2,0
519slsew,20,-52,0,0,9,2,-43,0,0,0,1,-43,0,0,0,0,1,-43,0,0,0,1,-43,0,0,0,1,-43,0,0,0,1,-43,0,0,0,1,-43,0,1,1,0,-1,0,-44,0,0,无,0,1,-44,0,1,小,-15,0,-59,0,6,8,2,-51,0,1,0,1,0,-51,0,0,2,0
8tid5gfd,20,311.18,1,0,24,2,335.18,1,1,-5,0,330.18,1,0,0,0,1,330.18,1,1,7.76,2,337.94,1,1,33.79,2,371.73,1,1,135,2,506.73,1,1,-50.673,0,456.057,1,1,1,0,-1,0,455.06,1,0,无,0,1,455.06,1,1,小,-7,0,448.06,1,4,6,2,454.06,1,1,0,1,0,454.06,126.73,108.15,2,0
